match,team,opponent,team_score,opponent_score,result
GironaFC_Mallorca,GironaFC,Mallorca,1.0,1.0,draw
GironaFC_Mallorca,GironaFC,Mallorca,1.0,1.0,draw
Mallorca_GironaFC,Mallorca,GironaFC,1.0,1.0,draw
RealMadrid_RealBetis,RealMadrid,RealBetis,2.0,1.0,win
RealBetis_RealMadrid,RealBetis,RealMadrid,1.0,2.0,loss
RealBetis_RealMadrid,RealBetis,RealMadrid,1.0,2.0,loss
RealMadrid_RealBetis,RealMadrid,RealBetis,2.0,1.0,win
RealSociedad_AtleticoMadrid,RealSociedad,AtleticoMadrid,2.0,2.0,draw
AtleticoMadrid_RealSociedad,AtleticoMadrid,RealSociedad,2.0,2.0,draw
AtleticoMadrid_RealSociedad,AtleticoMadrid,RealSociedad,2.0,2.0,draw
RealSociedad_AtleticoMadrid,RealSociedad,AtleticoMadrid,2.0,2.0,draw
Sevilla_Barcelona,Sevilla,Barcelona,0.0,3.0,loss
Barcelona_Sevilla,Barcelona,Sevilla,3.0,0.0,win
Barcelona_Sevilla,Barcelona,Sevilla,3.0,0.0,win
Sevilla_Barcelona,Sevilla,Barcelona,0.0,3.0,loss
Osasuna_RayoVallecano,Osasuna,RayoVallecano,3.0,1.0,win
RayoVallecano_Osasuna,RayoVallecano,Osasuna,1.0,3.0,loss
RayoVallecano_Osasuna,RayoVallecano,Osasuna,1.0,3.0,loss
Osasuna_RayoVallecano,Osasuna,RayoVallecano,3.0,1.0,win
AthleticClub_Espanyol,AthleticClub,Espanyol,1.0,2.0,loss
Espanyol_AthleticClub,Espanyol,AthleticClub,2.0,1.0,win
Espanyol_AthleticClub,Espanyol,AthleticClub,2.0,1.0,win
AthleticClub_Espanyol,AthleticClub,Espanyol,1.0,2.0,loss
Villarreal_Elche,Villarreal,Elche,5.0,0.0,win
Elche_Villarreal,Elche,Villarreal,0.0,5.0,loss
Elche_Villarreal,Elche,Villarreal,0.0,5.0,loss
Villarreal_Elche,Villarreal,Elche,5.0,0.0,win
Valencia_Getafe,Valencia,Getafe,5.0,2.0,win
Getafe_Valencia,Getafe,Valencia,2.0,5.0,loss
Getafe_Valencia,Getafe,Valencia,2.0,5.0,loss
Valencia_Getafe,Valencia,Getafe,5.0,2.0,win
RealValladolid_Almeria,RealValladolid,Almeria,1.0,1.0,win
Almeria_RealValladolid,Almeria,RealValladolid,1.0,1.0,loss
Almeria_RealValladolid,Almeria,RealValladolid,1.0,1.0,loss
RealValladolid_Almeria,RealValladolid,Almeria,1.0,1.0,win
GironaFC_RealValladolid,GironaFC,RealValladolid,2.0,1.0,win
RealValladolid_GironaFC,RealValladolid,GironaFC,1.0,2.0,loss
RealValladolid_GironaFC,RealValladolid,GironaFC,1.0,2.0,loss
GironaFC_RealValladolid,GironaFC,RealValladolid,2.0,1.0,win
RayoVallecano_Valencia,RayoVallecano,Valencia,3.0,1.0,win
Valencia_RayoVallecano,Valencia,RayoVallecano,1.0,3.0,loss
Valencia_RayoVallecano,Valencia,RayoVallecano,1.0,3.0,loss
RayoVallecano_Valencia,RayoVallecano,Valencia,3.0,1.0,win
Espanyol_Sevilla,Espanyol,Sevilla,2.0,3.0,loss
Sevilla_Espanyol,Sevilla,Espanyol,3.0,2.0,win
Sevilla_Espanyol,Sevilla,Espanyol,3.0,2.0,win
Espanyol_Sevilla,Espanyol,Sevilla,2.0,3.0,loss
Cadiz_Barcelona,Cadiz,Barcelona,0.0,5.0,loss
Barcelona_Cadiz,Barcelona,Cadiz,5.0,0.0,win
Barcelona_Cadiz,Barcelona,Cadiz,5.0,0.0,win
Cadiz_Barcelona,Cadiz,Barcelona,0.0,5.0,loss
AtleticoMadrid_CeltaVigo,AtleticoMadrid,CeltaVigo,4.0,1.0,win
CeltaVigo_AtleticoMadrid,CeltaVigo,AtleticoMadrid,1.0,4.0,loss
CeltaVigo_AtleticoMadrid,CeltaVigo,AtleticoMadrid,1.0,4.0,loss
AtleticoMadrid_CeltaVigo,AtleticoMadrid,CeltaVigo,4.0,1.0,win
RealMadrid_Mallorca,RealMadrid,Mallorca,5.0,2.0,win
Mallorca_RealMadrid,Mallorca,RealMadrid,2.0,5.0,loss
Mallorca_RealMadrid,Mallorca,RealMadrid,2.0,5.0,loss
RealMadrid_Mallorca,RealMadrid,Mallorca,5.0,2.0,win
Elche_AthleticClub,Elche,AthleticClub,1.0,5.0,loss
AthleticClub_Elche,AthleticClub,Elche,5.0,1.0,win
AthleticClub_Elche,AthleticClub,Elche,5.0,1.0,win
Elche_AthleticClub,Elche,AthleticClub,1.0,5.0,loss
Getafe_RealSociedad,Getafe,RealSociedad,3.0,2.0,win
RealSociedad_Getafe,RealSociedad,Getafe,2.0,3.0,loss
RealSociedad_Getafe,RealSociedad,Getafe,2.0,3.0,loss
Getafe_RealSociedad,Getafe,RealSociedad,3.0,2.0,win
RealBetis_Villarreal,RealBetis,Villarreal,1.0,1.0,win
Villarreal_RealBetis,Villarreal,RealBetis,1.0,1.0,loss
Villarreal_RealBetis,Villarreal,RealBetis,1.0,1.0,loss
RealBetis_Villarreal,RealBetis,Villarreal,1.0,1.0,win
Almeria_Osasuna,Almeria,Osasuna,0.0,1.0,loss
Osasuna_Almeria,Osasuna,Almeria,1.0,0.0,win
Osasuna_Almeria,Osasuna,Almeria,1.0,0.0,win
Almeria_Osasuna,Almeria,Osasuna,0.0,1.0,loss
RealValladolid_Cadiz,RealValladolid,Cadiz,0.0,2.0,loss
Cadiz_RealValladolid,Cadiz,RealValladolid,2.0,0.0,win
Cadiz_RealValladolid,Cadiz,RealValladolid,2.0,0.0,win
RealValladolid_Cadiz,RealValladolid,Cadiz,0.0,2.0,loss
Mallorca_Almeria,Mallorca,Almeria,2.0,0.0,win
Almeria_Mallorca,Almeria,Mallorca,0.0,2.0,loss
Almeria_Mallorca,Almeria,Mallorca,0.0,2.0,loss
Mallorca_Almeria,Mallorca,Almeria,2.0,0.0,win
Barcelona_Elche,Barcelona,Elche,4.0,1.0,win
Elche_Barcelona,Elche,Barcelona,1.0,4.0,loss
Elche_Barcelona,Elche,Barcelona,1.0,4.0,loss
Barcelona_Elche,Barcelona,Elche,4.0,1.0,win
Valencia_CeltaVigo,Valencia,CeltaVigo,3.0,0.0,win
